OBJECTID,Id,ORIG_FID,POINT_X,POINT_Y
1,0,0,103.9934589,30.58523106
2,0,0,103.9934452,30.58540648
3,0,0,103.9934383,30.5855823
4,0,0,103.9934383,30.58575826
5,0,0,103.9934452,30.58593408
6,0,0,103.9934589,30.5861095
7,0,0,103.9934875,30.58621909
8,0,0,103.9935221,30.5863269
9,0,0,103.9935627,30.58643261
10,0,0,103.9936092,30.58653587
11,0,0,103.9936614,30.58663636
12,0,0,103.9937192,30.58673377
13,0,0,103.9937823,30.5868278
14,0,0,103.9938506,30.58691814
15,0,0,103.9940018,30.58708665
16,0,0,103.994098,30.58718053
17,0,0,103.9941984,30.58726998
18,0,0,103.9943027,30.58735481
19,0,0,103.9944107,30.58743485
20,0,0,103.9945222,30.58750993
21,0,0,103.994637,30.5875799
22,0,0,103.9947548,30.58764463
23,0,0,103.9948755,30.58770398
24,0,0,103.9949987,30.58775782
25,0,0,103.9951111,30.58780711
26,0,0,103.9952259,30.58785051
27,0,0,103.9953428,30.58788789
28,0,0,103.9954615,30.58791916
29,0,0,103.9955816,30.58794425
30,0,0,103.9957029,30.58796306
31,0,0,103.995825,30.58797557
32,0,0,103.9959476,30.58798173
33,0,0,103.9960704,30.58798153
34,0,0,103.9961929,30.58797497
35,0,0,103.996337,30.58796849
36,0,0,103.9964806,30.58795508
37,0,0,103.9966233,30.58793474
38,0,0,103.9967649,30.58790755
39,0,0,103.9969051,30.58787355
40,0,0,103.9970434,30.58783283
41,0,0,103.9971796,30.58778548
42,0,0,103.9973134,30.58773161
43,0,0,103.9974444,30.58767135
44,0,0,103.9975723,30.58760484
45,0,0,103.9976709,30.58754002
46,0,0,103.9978023,30.58744966
47,0,0,103.9978824,30.58739263
48,0,0,103.9980314,30.58727811
49,0,0,103.9981761,30.58715817
50,0,0,103.9983163,30.58703298
51,0,0,103.9984411,30.58689088
52,0,0,103.9984995,30.58681646
53,0,0,103.9988419,30.58613674
